Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Commute,Activity Gear,Filename,Elapsed Time2,Moving Time,Distance3,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Watts,Calories,Perceived Exertion,Perceived Relative Effort,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone
int,string,string,string,int,float,bool,string,string,int,int,float,float,float,float,float,float,float,float,float,float,float,int,int,int,float,int,int,float,float,float,float,float,float,float,int,float,int,int,float,float,int,float,int,int,float
2042163489,"29 Dec 2018, 12:30:14",Moor from home,Ride,5986,23.84,FALSE,Roscoe 8,activities/2042163489.gpx,5986,5614,23846.30078,12.89999962,,410.5739441,410.973999,104.0999985,430,18.20000076,-0.001677409,136.7533569,856.0204468,,,,,,,,,,,,,,,,,,,,,,,,
2048180381,"1 Jan 2019, 11:37:27",Whinlatter North,Ride,2570,9.12,FALSE,Roscoe 8,activities/2048180381.gpx,2570,2554,9125,10.10000038,,257.3247681,,309.3999939,497.2000122,34.70000076,0.090958901,,,,,,,,,,,,,,,,,,,,,,,,,,
2048450902,"1 Jan 2019, 13:51:00",Whinlatter South,Ride,2155,7.34,FALSE,Roscoe 8,activities/2048450902.gpx,2155,2103,7342.600098,10.60000038,,182.6496277,,314.8999939,488.7000122,20.79999924,-0.004085746,,,,,,,,,,,,,,,,,,,,,,,,,,
2073657490,"12 Jan 2019, 12:37:03",Gisburn,Ride,7823,19.11,FALSE,Roscoe 8,activities/2073657490.gpx,7823,6115,19115.09961,11.80000019,,481.7988892,,223.8999939,345.3999939,19.89999962,0.002092587,109.9573746,749.7141113,,,,,,,,,,,,,,,,,,,,,,,,
2091712897,"20 Jan 2019, 12:13:04",Moor from home,Ride,6421,23.86,FALSE,Roscoe 8,activities/2091712897.gpx,6421,5420,23863.30078,12.39999962,,409.4331665,410.0329895,104.0999985,430,22.79999924,-0.002514321,140.3328247,848.0744019,,,,,,,,,,,,,,,,,,,,,,,,
2121382821,"3 Feb 2019, 11:18:14",Moor from home ,Ride,5464,23.79,FALSE,Roscoe 8,activities/2121382821.gpx,5464,5287,23794.30078,12.19999981,,409.5399475,410.0400085,104.0999985,430,17.70000076,-0.002101344,139.9781342,825.1710205,,,,,,,,,,,,,,,,,,,,,,,,
2136878790,"10 Feb 2019, 12:11:02",Moor from home,Ride,5611,23.83,FALSE,Roscoe 8,activities/2136878790.gpx,5611,5391,23837.59961,12.89999962,,409.5762939,410.0759888,104.0999985,430,17.79999924,-0.002097527,140.2736511,843.1821289,,,,,,,,,,,,,,,,,,,,,,,,
2237268237,"24 Mar 2019, 10:07:51",Whinlatter north and south with dad,Ride,9620,18.15,FALSE,Roscoe 8,activities/2237268237.gpx,9620,6545,18158.09961,12.10000038,,460.2235107,,309.3999939,497.2000122,34,0.00330431,94.03924561,686.2678223,,,,,,,,,,,,,,,,,,,,,,,,
2268831998,"6 Apr 2019, 11:10:28",Down the Moor,Ride,3512,16.4,FALSE,Roscoe 8,activities/2268831998.gpx,3512,3198,16400.5,12.19999981,,168.5513,374.2510071,104.0999985,430,15.5,-1.254230022,144.5030823,515.2644653,,,,,,,,,,,,,,,,,,,,,,,,
2299549793,"18 Apr 2019, 14:28:24",Moor from home,Ride,4836,23.85,FALSE,Roscoe 8,activities/2299549793.gpx,4836,4717,23851.5,12.5,,409.9025574,410.4030151,104.0999985,430,18,-0.002096304,171.1810608,900.3187866,,,,,,,,,,,,,,,,,,,,,,,,
